PROTEOME_IDS,vfdb,HUMAN_HOMOLOGS,ALGPRED
GPHBMAFA_00001,0,0,0
GPHBMAFA_00002,0,0,0
GPHBMAFA_00003,0,0,0
GPHBMAFA_00004,0,0,0
GPHBMAFA_00005,0,0,0
GPHBMAFA_00006,0,0,0
GPHBMAFA_00007,0,0,0
GPHBMAFA_00008,0,0,0
GPHBMAFA_00009,0,0,0
GPHBMAFA_00010,0,0,0
GPHBMAFA_00011,0,0,0
GPHBMAFA_00012,0,0,0
GPHBMAFA_00013,0,0,0
GPHBMAFA_00014,0,0,0
GPHBMAFA_00019,0,0,0
GPHBMAFA_00020,0,0,0
GPHBMAFA_00021,0,0,0
GPHBMAFA_00022,0,0,0
GPHBMAFA_00023,0,0,0
GPHBMAFA_00024,0,0,0
GPHBMAFA_00025,0,0,0
GPHBMAFA_00026,0,0,0
GPHBMAFA_00027,0,0,0
GPHBMAFA_00028,0,0,0
GPHBMAFA_00029,0,0,0
GPHBMAFA_00030,1,1,1
GPHBMAFA_00031,0,0,0
GPHBMAFA_00032,0,0,0
GPHBMAFA_00033,0,0,0
GPHBMAFA_00034,0,0,0
GPHBMAFA_00035,0,0,0
GPHBMAFA_00036,0,0,0
GPHBMAFA_00037,0,0,0
GPHBMAFA_00038,1,1,1
GPHBMAFA_00039,0,0,0
GPHBMAFA_00040,0,0,0
GPHBMAFA_00041,0,0,0
GPHBMAFA_00042,0,0,0
GPHBMAFA_00043,0,0,0
GPHBMAFA_00044,0,0,0
GPHBMAFA_00045,0,0,0
GPHBMAFA_00046,0,0,0
GPHBMAFA_00047,0,0,0
GPHBMAFA_00048,0,0,0
GPHBMAFA_00049,0,0,0
GPHBMAFA_00050,0,0,0
GPHBMAFA_00051,0,0,0
GPHBMAFA_00052,0,0,0
GPHBMAFA_00053,0,0,0
GPHBMAFA_00054,0,0,0
GPHBMAFA_00055,0,0,0
GPHBMAFA_00056,0,0,0
GPHBMAFA_00057,0,0,0
GPHBMAFA_00058,0,0,0
GPHBMAFA_00059,0,0,0
GPHBMAFA_00060,0,0,0
GPHBMAFA_00061,0,0,0
GPHBMAFA_00062,1,1,1
GPHBMAFA_00063,0,0,0
GPHBMAFA_00064,0,0,0
GPHBMAFA_00065,1,1,1
GPHBMAFA_00066,0,0,0
GPHBMAFA_00067,0,0,0
GPHBMAFA_00068,0,0,0
GPHBMAFA_00069,0,0,0
GPHBMAFA_00070,0,0,0
GPHBMAFA_00071,0,0,0
GPHBMAFA_00072,0,0,0
GPHBMAFA_00073,1,0,0
GPHBMAFA_00074,0,0,0
GPHBMAFA_00075,0,0,0
GPHBMAFA_00076,1,1,1
GPHBMAFA_00077,0,0,0
GPHBMAFA_00078,0,0,0
GPHBMAFA_00079,0,0,0
GPHBMAFA_00080,0,0,0
GPHBMAFA_00081,0,0,0
GPHBMAFA_00082,0,0,0
GPHBMAFA_00083,0,0,0
GPHBMAFA_00084,0,0,0
GPHBMAFA_00085,0,0,0
GPHBMAFA_00086,0,0,0
GPHBMAFA_00087,0,0,0
GPHBMAFA_00088,0,0,0
GPHBMAFA_00089,0,0,0
GPHBMAFA_00090,0,0,0
GPHBMAFA_00091,0,0,0
GPHBMAFA_00092,0,0,0
GPHBMAFA_00093,0,0,0
GPHBMAFA_00094,0,0,0
GPHBMAFA_00095,0,0,0
GPHBMAFA_00096,0,0,0
GPHBMAFA_00097,0,0,0
GPHBMAFA_00098,0,0,0
GPHBMAFA_00099,0,0,0
GPHBMAFA_00100,0,0,0
GPHBMAFA_00101,0,0,0
GPHBMAFA_00102,0,0,0
GPHBMAFA_00103,0,0,0
GPHBMAFA_00104,0,0,0
GPHBMAFA_00105,0,0,0
GPHBMAFA_00106,0,0,0
GPHBMAFA_00107,0,0,0
GPHBMAFA_00108,0,0,0
GPHBMAFA_00109,0,0,0
GPHBMAFA_00110,0,0,0
GPHBMAFA_00111,1,1,0
GPHBMAFA_00112,0,0,0
GPHBMAFA_00120,1,1,1
GPHBMAFA_00121,0,0,0
GPHBMAFA_00122,0,0,0
GPHBMAFA_00123,0,0,0
GPHBMAFA_00124,0,0,0
GPHBMAFA_00125,0,0,0
GPHBMAFA_00126,0,0,0
GPHBMAFA_00127,0,0,0
GPHBMAFA_00128,0,0,0
GPHBMAFA_00129,0,0,0
GPHBMAFA_00130,0,0,0
GPHBMAFA_00131,0,0,0
GPHBMAFA_00132,0,0,0
GPHBMAFA_00133,0,0,0
GPHBMAFA_00134,0,0,0
GPHBMAFA_00135,0,0,0
GPHBMAFA_00136,0,0,0
GPHBMAFA_00137,0,0,0
GPHBMAFA_00138,0,0,0
GPHBMAFA_00139,0,0,0
GPHBMAFA_00140,1,1,1
GPHBMAFA_00141,1,1,1
GPHBMAFA_00142,0,0,0
GPHBMAFA_00143,1,1,1
GPHBMAFA_00144,1,1,1
