PROTEOME_IDS,vfdb
GPHBMAFA_00001,0
GPHBMAFA_00002,0
GPHBMAFA_00003,0
GPHBMAFA_00004,0
GPHBMAFA_00005,0
GPHBMAFA_00006,0
GPHBMAFA_00007,0
GPHBMAFA_00008,0
GPHBMAFA_00009,0
GPHBMAFA_00010,0
GPHBMAFA_00011,0
GPHBMAFA_00012,0
GPHBMAFA_00013,0
GPHBMAFA_00014,0
GPHBMAFA_00019,0
GPHBMAFA_00020,0
GPHBMAFA_00021,0
GPHBMAFA_00022,0
GPHBMAFA_00023,0
GPHBMAFA_00024,0
GPHBMAFA_00025,0
GPHBMAFA_00026,0
GPHBMAFA_00027,0
GPHBMAFA_00028,0
GPHBMAFA_00029,0
GPHBMAFA_00030,1
GPHBMAFA_00031,0
GPHBMAFA_00032,0
GPHBMAFA_00033,0
GPHBMAFA_00034,0
GPHBMAFA_00035,0
GPHBMAFA_00036,0
GPHBMAFA_00037,0
GPHBMAFA_00038,1
GPHBMAFA_00039,0
GPHBMAFA_00040,0
GPHBMAFA_00041,0
GPHBMAFA_00042,0
GPHBMAFA_00043,0
GPHBMAFA_00044,0
GPHBMAFA_00045,0
GPHBMAFA_00046,0
GPHBMAFA_00047,0
GPHBMAFA_00048,0
GPHBMAFA_00049,0
GPHBMAFA_00050,0
GPHBMAFA_00051,0
GPHBMAFA_00052,0
GPHBMAFA_00053,0
GPHBMAFA_00054,0
GPHBMAFA_00055,0
GPHBMAFA_00056,0
GPHBMAFA_00057,0
GPHBMAFA_00058,0
GPHBMAFA_00059,0
GPHBMAFA_00060,0
GPHBMAFA_00061,0
GPHBMAFA_00062,1
GPHBMAFA_00063,0
GPHBMAFA_00064,0
GPHBMAFA_00065,1
GPHBMAFA_00066,0
GPHBMAFA_00067,0
GPHBMAFA_00068,0
GPHBMAFA_00069,0
GPHBMAFA_00070,0
GPHBMAFA_00071,0
GPHBMAFA_00072,0
GPHBMAFA_00073,1
GPHBMAFA_00074,0
GPHBMAFA_00075,0
GPHBMAFA_00076,1
GPHBMAFA_00077,0
GPHBMAFA_00078,0
GPHBMAFA_00079,0
GPHBMAFA_00080,0
GPHBMAFA_00081,0
GPHBMAFA_00082,0
GPHBMAFA_00083,0
GPHBMAFA_00084,0
GPHBMAFA_00085,0
GPHBMAFA_00086,0
GPHBMAFA_00087,0
GPHBMAFA_00088,0
GPHBMAFA_00089,0
GPHBMAFA_00090,0
GPHBMAFA_00091,0
GPHBMAFA_00092,0
GPHBMAFA_00093,0
GPHBMAFA_00094,0
GPHBMAFA_00095,0
GPHBMAFA_00096,0
GPHBMAFA_00097,0
GPHBMAFA_00098,0
GPHBMAFA_00099,0
GPHBMAFA_00100,0
GPHBMAFA_00101,0
GPHBMAFA_00102,0
GPHBMAFA_00103,0
GPHBMAFA_00104,0
GPHBMAFA_00105,0
GPHBMAFA_00106,0
GPHBMAFA_00107,0
GPHBMAFA_00108,0
GPHBMAFA_00109,0
GPHBMAFA_00110,0
GPHBMAFA_00111,1
GPHBMAFA_00112,0
GPHBMAFA_00120,1
GPHBMAFA_00121,0
GPHBMAFA_00122,0
GPHBMAFA_00123,0
GPHBMAFA_00124,0
GPHBMAFA_00125,0
GPHBMAFA_00126,0
GPHBMAFA_00127,0
GPHBMAFA_00128,0
GPHBMAFA_00129,0
GPHBMAFA_00130,0
GPHBMAFA_00131,0
GPHBMAFA_00132,0
GPHBMAFA_00133,0
GPHBMAFA_00134,0
GPHBMAFA_00135,0
GPHBMAFA_00136,0
GPHBMAFA_00137,0
GPHBMAFA_00138,0
GPHBMAFA_00139,0
GPHBMAFA_00140,1
GPHBMAFA_00141,1
GPHBMAFA_00142,0
GPHBMAFA_00143,1
GPHBMAFA_00144,1
GPHBMAFA_00145,1
GPHBMAFA_00146,1
GPHBMAFA_00147,0
GPHBMAFA_00148,1
GPHBMAFA_00149,0
GPHBMAFA_00150,0
GPHBMAFA_00151,0
GPHBMAFA_00152,0
GPHBMAFA_00153,0
GPHBMAFA_00158,0
GPHBMAFA_00159,0
GPHBMAFA_00160,0
GPHBMAFA_00161,0
GPHBMAFA_00162,0
GPHBMAFA_00163,0
GPHBMAFA_00164,0
GPHBMAFA_00165,0
GPHBMAFA_00166,0
GPHBMAFA_00167,0
GPHBMAFA_00168,0
GPHBMAFA_00169,0
GPHBMAFA_00170,0
GPHBMAFA_00171,0
GPHBMAFA_00172,0
GPHBMAFA_00173,0
GPHBMAFA_00174,0
GPHBMAFA_00175,0
GPHBMAFA_00176,0
GPHBMAFA_00177,0
GPHBMAFA_00178,0
GPHBMAFA_00179,0
GPHBMAFA_00180,0
GPHBMAFA_00181,0
GPHBMAFA_00182,0
GPHBMAFA_00183,0
GPHBMAFA_00184,0
GPHBMAFA_00185,0
GPHBMAFA_00186,0
GPHBMAFA_00187,0
GPHBMAFA_00188,0
GPHBMAFA_00189,0
GPHBMAFA_00190,0
GPHBMAFA_00191,0
GPHBMAFA_00192,0
GPHBMAFA_00193,0
GPHBMAFA_00194,0
GPHBMAFA_00195,0
GPHBMAFA_00196,0
GPHBMAFA_00197,1
GPHBMAFA_00198,0
GPHBMAFA_00199,0
GPHBMAFA_00200,0
GPHBMAFA_00201,0
GPHBMAFA_00207,0
GPHBMAFA_00208,1
GPHBMAFA_00209,0
GPHBMAFA_00214,1
GPHBMAFA_00215,0
GPHBMAFA_00216,0
GPHBMAFA_00217,0
GPHBMAFA_00218,0
GPHBMAFA_00219,0
GPHBMAFA_00220,0
GPHBMAFA_00221,0
GPHBMAFA_00222,0
GPHBMAFA_00223,0
GPHBMAFA_00224,0
GPHBMAFA_00225,0
GPHBMAFA_00226,0
GPHBMAFA_00227,0
GPHBMAFA_00228,0
GPHBMAFA_00229,0
GPHBMAFA_00230,0
GPHBMAFA_00231,0
GPHBMAFA_00232,0
GPHBMAFA_00233,0
GPHBMAFA_00234,1
GPHBMAFA_00235,0
GPHBMAFA_00236,0
GPHBMAFA_00237,0
GPHBMAFA_00238,0
GPHBMAFA_00239,0
GPHBMAFA_00240,0
GPHBMAFA_00241,0
GPHBMAFA_00242,0
GPHBMAFA_00243,1
GPHBMAFA_00244,1
GPHBMAFA_00245,0
GPHBMAFA_00246,0
GPHBMAFA_00251,0
GPHBMAFA_00252,0
GPHBMAFA_00253,0
GPHBMAFA_00254,1
GPHBMAFA_00255,0
GPHBMAFA_00256,1
GPHBMAFA_00257,0
GPHBMAFA_00258,0
GPHBMAFA_00259,0
GPHBMAFA_00260,0
GPHBMAFA_00261,0
GPHBMAFA_00262,0
GPHBMAFA_00263,0
GPHBMAFA_00264,0
GPHBMAFA_00265,0
GPHBMAFA_00266,0
GPHBMAFA_00267,0
GPHBMAFA_00268,0
GPHBMAFA_00269,0
GPHBMAFA_00270,0
GPHBMAFA_00271,1
GPHBMAFA_00272,0
GPHBMAFA_00273,0
GPHBMAFA_00274,0
GPHBMAFA_00275,0
GPHBMAFA_00276,0
GPHBMAFA_00277,0
GPHBMAFA_00278,0
GPHBMAFA_00279,0
GPHBMAFA_00280,0
GPHBMAFA_00281,0
GPHBMAFA_00282,0
GPHBMAFA_00283,1
GPHBMAFA_00284,0
GPHBMAFA_00285,0
GPHBMAFA_00286,0
GPHBMAFA_00287,0
GPHBMAFA_00288,0
GPHBMAFA_00289,0
GPHBMAFA_00290,0
GPHBMAFA_00291,0
GPHBMAFA_00292,0
GPHBMAFA_00293,0
GPHBMAFA_00294,0
GPHBMAFA_00295,0
GPHBMAFA_00296,0
GPHBMAFA_00297,1
GPHBMAFA_00298,0
GPHBMAFA_00299,0
GPHBMAFA_00300,0
GPHBMAFA_00301,0
GPHBMAFA_00302,0
GPHBMAFA_00303,0
GPHBMAFA_00304,1
GPHBMAFA_00305,0
GPHBMAFA_00306,0
GPHBMAFA_00307,1
GPHBMAFA_00308,0
GPHBMAFA_00309,0
GPHBMAFA_00310,0
GPHBMAFA_00311,0
GPHBMAFA_00312,0
GPHBMAFA_00313,0
GPHBMAFA_00314,0
GPHBMAFA_00315,1
GPHBMAFA_00316,0
GPHBMAFA_00317,0
GPHBMAFA_00318,0
GPHBMAFA_00319,0
GPHBMAFA_00320,0
GPHBMAFA_00321,0
GPHBMAFA_00322,0
GPHBMAFA_00323,0
GPHBMAFA_00324,1
GPHBMAFA_00325,0
GPHBMAFA_00326,0
GPHBMAFA_00327,0
GPHBMAFA_00328,0
GPHBMAFA_00329,0
GPHBMAFA_00330,1
GPHBMAFA_00331,1
GPHBMAFA_00332,0
GPHBMAFA_00333,0
GPHBMAFA_00334,0
GPHBMAFA_00335,0
GPHBMAFA_00336,0
GPHBMAFA_00337,0
GPHBMAFA_00338,0
GPHBMAFA_00339,0
GPHBMAFA_00340,0
GPHBMAFA_00341,1
GPHBMAFA_00342,0
GPHBMAFA_00343,0
GPHBMAFA_00344,0
GPHBMAFA_00345,0
GPHBMAFA_00346,0
GPHBMAFA_00347,1
GPHBMAFA_00348,0
GPHBMAFA_00349,0
GPHBMAFA_00350,0
GPHBMAFA_00351,0
GPHBMAFA_00352,0
GPHBMAFA_00353,1
GPHBMAFA_00354,0
GPHBMAFA_00355,0
GPHBMAFA_00356,0
GPHBMAFA_00357,0
GPHBMAFA_00358,0
GPHBMAFA_00359,0
GPHBMAFA_00360,0
GPHBMAFA_00361,0
GPHBMAFA_00362,0
GPHBMAFA_00363,0
GPHBMAFA_00364,0
GPHBMAFA_00365,0
GPHBMAFA_00366,0
GPHBMAFA_00367,0
GPHBMAFA_00368,0
GPHBMAFA_00369,0
GPHBMAFA_00370,0
GPHBMAFA_00371,0
GPHBMAFA_00372,0
GPHBMAFA_00373,0
GPHBMAFA_00374,0
GPHBMAFA_00375,1
GPHBMAFA_00376,1
GPHBMAFA_00377,0
GPHBMAFA_00378,0
GPHBMAFA_00379,0
GPHBMAFA_00381,0
GPHBMAFA_00382,0
GPHBMAFA_00383,0
GPHBMAFA_00384,0
GPHBMAFA_00385,0
GPHBMAFA_00386,0
GPHBMAFA_00387,0
GPHBMAFA_00388,0
GPHBMAFA_00389,0
GPHBMAFA_00390,1
GPHBMAFA_00391,0
GPHBMAFA_00392,0
GPHBMAFA_00393,0
GPHBMAFA_00394,0
GPHBMAFA_00395,0
GPHBMAFA_00396,0
GPHBMAFA_00397,0
GPHBMAFA_00398,1
GPHBMAFA_00399,1
GPHBMAFA_00400,0
GPHBMAFA_00401,1
GPHBMAFA_00402,0
GPHBMAFA_00403,0
GPHBMAFA_00404,0
GPHBMAFA_00405,0
GPHBMAFA_00406,0
GPHBMAFA_00407,0
GPHBMAFA_00408,0
GPHBMAFA_00409,0
GPHBMAFA_00410,0
GPHBMAFA_00411,0
GPHBMAFA_00412,0
GPHBMAFA_00413,0
GPHBMAFA_00414,0
GPHBMAFA_00415,0
GPHBMAFA_00416,0
GPHBMAFA_00417,0
GPHBMAFA_00418,0
GPHBMAFA_00422,0
GPHBMAFA_00423,0
GPHBMAFA_00424,0
GPHBMAFA_00425,0
GPHBMAFA_00426,0
GPHBMAFA_00427,0
GPHBMAFA_00428,0
GPHBMAFA_00429,0
GPHBMAFA_00430,0
GPHBMAFA_00431,0
GPHBMAFA_00432,0
GPHBMAFA_00433,0
GPHBMAFA_00434,0
GPHBMAFA_00435,0
GPHBMAFA_00436,0
GPHBMAFA_00437,0
GPHBMAFA_00438,0
GPHBMAFA_00439,0
GPHBMAFA_00440,0
GPHBMAFA_00441,0
GPHBMAFA_00442,0
GPHBMAFA_00443,0
GPHBMAFA_00444,0
GPHBMAFA_00445,0
GPHBMAFA_00446,0
GPHBMAFA_00447,0
GPHBMAFA_00448,0
GPHBMAFA_00449,0
GPHBMAFA_00450,0
GPHBMAFA_00451,0
GPHBMAFA_00452,0
GPHBMAFA_00453,0
GPHBMAFA_00454,0
GPHBMAFA_00455,0
GPHBMAFA_00456,0
GPHBMAFA_00457,0
GPHBMAFA_00458,1
GPHBMAFA_00459,0
GPHBMAFA_00460,0
GPHBMAFA_00461,0
GPHBMAFA_00462,0
GPHBMAFA_00463,0
GPHBMAFA_00464,0
GPHBMAFA_00465,0
GPHBMAFA_00466,0
GPHBMAFA_00467,0
GPHBMAFA_00468,0
GPHBMAFA_00469,0
GPHBMAFA_00470,1
GPHBMAFA_00471,0
GPHBMAFA_00472,0
GPHBMAFA_00473,0
GPHBMAFA_00474,0
GPHBMAFA_00475,0
GPHBMAFA_00476,0
GPHBMAFA_00477,0
GPHBMAFA_00478,1
GPHBMAFA_00479,0
GPHBMAFA_00480,0
GPHBMAFA_00481,0
GPHBMAFA_00482,0
GPHBMAFA_00483,0
GPHBMAFA_00484,0
GPHBMAFA_00485,1
GPHBMAFA_00486,0
GPHBMAFA_00487,0
GPHBMAFA_00488,0
GPHBMAFA_00489,0
GPHBMAFA_00490,0
GPHBMAFA_00491,0
GPHBMAFA_00492,0
GPHBMAFA_00493,1
GPHBMAFA_00494,0
GPHBMAFA_00495,0
GPHBMAFA_00496,0
GPHBMAFA_00497,0
GPHBMAFA_00498,0
GPHBMAFA_00499,0
GPHBMAFA_00500,0
GPHBMAFA_00501,0
GPHBMAFA_00502,0
GPHBMAFA_00503,0
GPHBMAFA_00504,0
GPHBMAFA_00505,0
GPHBMAFA_00506,0
GPHBMAFA_00507,0
GPHBMAFA_00508,0
GPHBMAFA_00509,1
GPHBMAFA_00510,0
GPHBMAFA_00511,0
GPHBMAFA_00512,1
GPHBMAFA_00513,0
GPHBMAFA_00514,0
GPHBMAFA_00515,0
